Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Acciones ordinarias;32623000;32623000;32623000;32623000;32623000;32623000;32623000;32623000;32550000;32550000;32550000;32550000;32550000;32550000;32550000
Capital desembolsado adicional;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000;12000
Beneficio no distribuido;410357000;464594000;507571000;552756000;616059000;101455000;96142000;90950000;78385000;64118000;74627000;81296000;82909000;136685000;144083000
Autocartera;;;;;;;;-5289000;-6487000;-6031000;-10473000;-16181000;-21671000;-35045000;-23641000
Resultado global y otros;6444000;1340000;-18589000;-9524000;-15785000;573774000;598769000;639317000;679906000;645597000;726060000;809193000;863972000;802994000;774626000
Intereses minoritarios;;;;;290000;217000;135000;13000;;;;;;1715000;5422000
Patrimonio neto;449436000;498569000;521617000;575867000;633199000;708081000;727681000;757626000;784366000;736246000;822776000;906870000;957772000;938911000;933052000
Total pasivos y patrimonio neto;697296000;777569000;790675000;876899000;831921000;930994000;960804000;1033742000;1085009000;1040432000;1168794000;1347393000;1407509000;1402848000;1441576000
Valor en libros tangible;432279000;482804000;506259000;562705000;615451000;691678000;708430000;734937000;764881000;717165000;802749000;886366000;937607000;904320000;891515000
Deuda total;91665000;127968000;132650000;130270000;67453000;84986000;93722000;134924000;141632000;135276000;130642000;194389000;233568000;249854000;316318000
Deuda neta;65917000;82668000;110823000;103958000;23000000;39932000;64829000;95498000;89516000;82535000;38537000;142460000;180813000;193916000;252712000
Fondo de maniobra;181261000;208685000;204484000;262555000;299550000;334620000;331535000;332493000;364624000;331016000;387388000;394739000;424714000;415004000;387653000
Fondo de maniobra neto;225119000;265497000;267549000;321282000;284934000;319685000;322028000;371514000;367839000;354078000;348565000;482707000;554694000;537609000;579786000
Capital total;541101000;626537000;654267000;706137000;700652000;793067000;821403000;892550000;925998000;871522000;953418000;1101259000;1191340000;1188765000;1249370000
Capital invertido;515353000;581237000;632440000;679825000;656199000;748013000;792510000;853124000;873882000;818781000;861313000;1049330000;1138585000;1132827000;1185764000
Capital empleado;533092000;581946000;616447000;675733000;715738000;812077000;847248000;860048000;929489000;854809000;949723000;1021654000;1068200000;1056187000;1047727000
Ventas;666812000;753212000;661156000;687063000;740770000;730833000;778136000;786049000;849697000;912160000;969237000;1201028000;1225787000;1203994000;1251983000
Otras ventas;7090000;1912000;3058000;4286000;285000;;;;;;;;;;
Ventas totales;673902000;755124000;664214000;691349000;741055000;730833000;778136000;786049000;849697000;912160000;969237000;1201028000;1225787000;1203994000;1251983000
Coste de ventas;-232605000;-268586000;-219531000;-214488000;-230532000;-231483000;-240011000;-255067000;-301523000;-302157000;-313693000;-424012000;-454632000;-425655000;-445194000
Coste de los bienes vendidos;-232605000;-268586000;-219531000;-214488000;-230532000;-231483000;-240011000;-255067000;-301523000;-302157000;-313693000;-424012000;-454632000;-425655000;-445194000
Beneficio bruto;441297000;486538000;444683000;476861000;510523000;499350000;538125000;530982000;548174000;610003000;655544000;777016000;771155000;778339000;806789000
Gastos operativos totales;-323105000;-348013000;-320829000;-341361000;-354391000;-351388000;-394800000;-404237000;-424125000;-446834000;-479936000;-587869000;-586611000;-577014000;-603411000
Gastos en VG&A;-137575000;-150428000;-143464000;-151911000;-165991000;-173828000;-191347000;-189564000;-201732000;-226238000;-234914000;-267662000;-278723000;-283014000;-301472000
Gastos en D&A;;-45010000;-41586000;-45446000;-49104000;-46417000;-52894000;-58637000;-66587000;-67405000;-67936000;-73365000;-78921000;-79207000;-79459000
Amortización de intangibles;-42050000;;-3556000;-3717000;-3945000;-3282000;-3488000;-3801000;-4087000;-4121000;-4345000;-4782000;-4792000;-4587000;-5737000
Otros gastos operativos;-143480000;-152575000;-132223000;-140287000;-135351000;-127861000;-147071000;-152235000;-151719000;-149070000;-172741000;-242060000;-224175000;-210206000;-216743000
Beneficio operativo;118192000;138525000;123854000;135500000;156132000;147962000;143325000;126745000;124049000;163169000;175608000;189147000;184544000;201325000;203378000
Gastos no operativos totales;10135000;-5140000;-1286000;-890000;-7506000;1478000;-9081000;1407000;220000;-2932000;1892000;-5383000;-15174000;5780000;-27292000
Gastos por intereses;-3149000;-3409000;-2224000;-3583000;-2904000;-1230000;-1431000;-1705000;-1512000;-1151000;-918000;-1533000;-6272000;-9736000;-9100000
Ingresos por int. e inversiones;1389000;691000;443000;322000;694000;431000;279000;309000;597000;524000;628000;1194000;846000;2535000;1945000
Otros ingresos y gastos no operativos;11895000;-2422000;495000;2371000;-5296000;2277000;-7929000;2803000;1135000;-2305000;2182000;-5044000;-9748000;12981000;-20137000
EBT excluyendo ítems inusuales;128327000;133385000;122568000;134610000;148626000;149440000;134244000;128152000;124269000;160237000;177500000;183764000;169370000;207105000;176086000
Ítems inusuales totales;-443000;-390000;-159000;-369000;2881000;5815000;11113000;19147000;5795000;-581000;-1080000;25000;-464000;-667000;168000
Cargos de fusión y reestructuración;-402000;;;;;-1544000;-598000;-1419000;-1497000;;;;;;
Det. de fondo de comercio;;;;;;;;;-3520000;;;;;;
Beneficios o pérdidas por venta de inversiones;;;;;;;;;15000;5000;2000;-17000;22000;-248000;-480000
Reducción de valor de activos;-41000;-390000;-159000;-369000;-122000;-116000;711000;-320000;-92000;-586000;-1082000;42000;-486000;-419000;648000
Acuerdos de seguros;;;;;;3000000;11000000;;;;;;;;
Acuerdos legales;;;;;;;;15400000;;;;;;;
Otros ítems inusuales;;;;;3003000;4475000;;5486000;10889000;;;;;;
EBT incluyendo ítems inusuales;127884000;132995000;122409000;134241000;151507000;155255000;145357000;147299000;130064000;159656000;176420000;183789000;168906000;206438000;176254000
Gastos por impuestos;-26639000;-27932000;-25563000;-30612000;-31883000;-30244000;-23338000;-23588000;-24487000;-37143000;-43423000;-44359000;-27944000;-49105000;-17784000
Beneficios de operaciones continuas;101245000;105063000;96846000;103629000;119624000;125011000;122019000;123711000;105577000;122513000;132997000;139430000;140962000;157333000;158470000
