Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/09/2011;30/09/2012;30/09/2013;30/09/2014;30/09/2015;30/09/2016;30/09/2017;30/09/2018;30/09/2019;30/09/2020;30/09/2021;30/09/2022;30/09/2023;30/09/2024;30/09/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Total pasivos y patrimonio neto;153377000;192393000;223100000;239142000;266799000;276061000;299884000;329732000;354756000;360933000;364619000;530738000;610884000;584364000;596935000
Valor en libros tangible;10180000;-10900000;-6237000;12272000;8985000;28142000;14455000;38312000;39995000;33958000;72620000;29453000;31664000;37988000;26428000
Deuda total;35554000;63528000;78592000;70352000;94349000;105886000;124352000;140627000;143528000;168502000;151098000;241259000;277903000;272246000;266415000
Deuda neta;25341000;56949000;67399000;59792000;85715000;94559000;114430000;122901000;129431000;152897000;115412000;205279000;256880000;239896000;232706000
Fondo de maniobra;1968000;-8145000;-8253000;-15843000;-5688000;2350000;-4869000;2957000;1682000;-5871000;29925000;19660000;-10509000;-793000;-12087000
Fondo de maniobra neto;-2751000;-8121000;-10616000;-14088000;-4853000;973000;2649000;4278000;3339000;-3544000;2453000;-1629000;-5712000;-10982000;-21284000
Capital total;115776000;151140000;175707000;183651000;222835000;235225000;259577000;293959000;312948000;320809000;330321000;483017000;559227000;535356000;527294000
Capital invertido;105563000;144561000;164514000;173091000;214201000;223898000;249655000;276233000;298851000;305204000;294635000;447037000;538204000;503006000;493585000
Capital empleado;135686000;169540000;194187000;199948000;244176000;249024000;268773000;295887000;320548000;323629000;341594000;499237000;562902000;536286000;533980000
Ventas;78155000;89439000;105412000;114534000;127556000;126392000;136827000;155657000;169025000;124702000;183257000;251498000;274745000;276185000;259174000
Otras ventas;5336000;5781000;6796000;6898000;7893000;8468000;8069000;10091000;12034000;7625000;12001000;16122000;19045000;19419000;20260000
