Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Pasivos no circulantes;2613000000;2343000000;2366000000;2822000000;2852000000;3011000000;2613000000;2759000000;2715000000;3112000000;3555000000;3331000000;3555000000;4169000000;4728000000
Pasivos totales;5130000000;4998000000;5280000000;5215000000;5622000000;6213000000;6245000000;6290000000;6395000000;6263000000;6611000000;7200000000;7345000000;7953000000;8786000000
Patrimonio ordinario, Total;1540000000;1538000000;1564000000;2106000000;2472000000;2621000000;2228000000;2254000000;2380000000;2087000000;2417000000;2310000000;1749000000;1545000000;798000000
Acciones ordinarias;36000000;36000000;36000000;36000000;36000000;36000000;35000000;34000000;33000000;32000000;32000000;31000000;30000000;29000000;28000000
Capital desembolsado adicional;88000000;87000000;87000000;87000000;87000000;87000000;87000000;87000000;87000000;87000000;87000000;87000000;87000000;87000000;87000000
Beneficio no distribuido;1668000000;1769000000;1921000000;2159000000;2297000000;2518000000;2491000000;2408000000;2436000000;2441000000;2448000000;2581000000;2151000000;1474000000;1266000000
Autocartera;-65000000;-85000000;-88000000;-96000000;-205000000;-406000000;-297000000;-323000000;-279000000;-222000000;-247000000;-735000000;-734000000;-470000000;-587000000
Resultado global y otros;-187000000;-269000000;-392000000;-80000000;257000000;386000000;-88000000;48000000;103000000;-251000000;97000000;346000000;215000000;425000000;4000000
Intereses minoritarios;21000000;20000000;20000000;15000000;5000000;5000000;4000000;;;;;;;;
Patrimonio neto;1561000000;1558000000;1584000000;2121000000;2477000000;2626000000;2232000000;2254000000;2380000000;2087000000;2417000000;2310000000;1749000000;1545000000;798000000
Total pasivos y patrimonio neto;6691000000;6556000000;6864000000;7336000000;8099000000;8839000000;8477000000;8544000000;8775000000;8350000000;9028000000;9510000000;9094000000;9498000000;9584000000
Valor en libros tangible;-3189000000;-3113000000;-3028000000;-3066000000;-3078000000;-3492000000;-3353000000;-3531000000;-3314000000;-3551000000;-3383000000;-3732000000;-4171000000;-4900000000;-5814000000
Deuda total;2517000000;2411000000;2744000000;2452000000;2600000000;2878000000;3090000000;3066000000;3116000000;3107000000;3132000000;3617000000;3749000000;4090000000;4972000000
Deuda neta;2222000000;2083000000;1989000000;1917000000;1788000000;1938000000;2070000000;2283000000;2217000000;2384000000;2131000000;2271000000;2614000000;3136000000;4040000000
Fondo de maniobra;-931000000;-1076000000;-912000000;-477000000;-459000000;-751000000;-974000000;-1275000000;-1204000000;-968000000;-318000000;-892000000;-1036000000;-1127000000;-1425000000
Fondo de maniobra neto;-867000000;-911000000;-832000000;-864000000;-977000000;-1127000000;-944000000;-1241000000;-1098000000;-1160000000;-1238000000;-1451000000;-1508000000;-1654000000;-1578000000
Capital total;4078000000;3969000000;4328000000;4573000000;5077000000;5504000000;5322000000;5320000000;5496000000;5194000000;5549000000;5927000000;5498000000;5635000000;5770000000
Capital invertido;3783000000;3641000000;3573000000;4038000000;4265000000;4564000000;4302000000;4537000000;4597000000;4471000000;4548000000;4581000000;4363000000;4681000000;4838000000
Capital empleado;4174000000;3901000000;3950000000;4943000000;5329000000;5637000000;4845000000;5013000000;5095000000;5199000000;5972000000;5641000000;5304000000;5714000000;5526000000
Ventas;3354000000;3597000000;3565000000;3660000000;4208000000;4286000000;4368000000;4259000000;4612000000;4603000000;4771000000;5453000000;5584000000;5916000000;6125000000
Ventas totales;3354000000;3597000000;3565000000;3660000000;4208000000;4286000000;4368000000;4259000000;4612000000;4603000000;4771000000;5453000000;5584000000;5916000000;6125000000
Coste de ventas;-1114000000;-1170000000;-1143000000;-1173000000;-1323000000;-1315000000;-1331000000;-1297000000;-1385000000;-1359000000;-1374000000;-1578000000;-1576000000;-1626000000;-1625000000
Coste de los bienes vendidos;-1114000000;-1170000000;-1143000000;-1173000000;-1323000000;-1315000000;-1331000000;-1297000000;-1385000000;-1359000000;-1374000000;-1578000000;-1576000000;-1626000000;-1625000000
Beneficio bruto;2240000000;2427000000;2422000000;2487000000;2885000000;2971000000;3037000000;2962000000;3227000000;3244000000;3397000000;3875000000;4008000000;4290000000;4500000000
Gastos operativos totales;-1673000000;-1850000000;-1839000000;-1885000000;-2202000000;-2208000000;-2261000000;-2124000000;-2270000000;-2266000000;-2324000000;-2592000000;-2681000000;-2840000000;-2972000000
Gastos en VG&A;-1673000000;-1850000000;-1839000000;-1880000000;-2202000000;-2208000000;-2261000000;-2124000000;-2270000000;-2266000000;-2324000000;-2592000000;-2681000000;-2840000000;-2972000000
Otros gastos operativos;;;;-5000000;;;;;;;;;;;
Beneficio operativo;567000000;577000000;583000000;602000000;683000000;763000000;776000000;838000000;957000000;978000000;1073000000;1283000000;1327000000;1450000000;1528000000
Gastos no operativos totales;-118000000;-123000000;-123000000;-114000000;-119000000;-105000000;-105000000;-75000000;-55000000;-40000000;-77000000;-56000000;-26000000;-60000000;-84000000
Gastos por intereses;-124000000;-128000000;-134000000;-105000000;-106000000;-107000000;-107000000;-81000000;-79000000;-79000000;-67000000;-72000000;-89000000;-105000000;-124000000
Ingresos por int. e inversiones;4000000;4000000;3000000;2000000;2000000;4000000;10000000;12000000;25000000;10000000;4000000;21000000;55000000;52000000;29000000
Otros ingresos y gastos no operativos;2000000;1000000;8000000;-11000000;-15000000;-2000000;-8000000;-6000000;-1000000;29000000;-14000000;-5000000;8000000;-7000000;11000000
EBT excluyendo ítems inusuales;449000000;454000000;460000000;488000000;564000000;658000000;671000000;763000000;902000000;938000000;996000000;1227000000;1301000000;1390000000;1444000000
