Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/06/2011;30/06/2012;30/06/2013;30/06/2014;30/06/2015;30/06/2016;30/06/2017;30/06/2018;30/06/2019;30/06/2020;30/06/2021;30/06/2022;30/06/2023;30/06/2024;30/06/2025
Divisa;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;USD;USD
Ajustes por tipo de cambio;-68000000;-27000000;36000000;-192000000;-73000000;84000000;-14000000;-39000000;-26000000;-120000000;-285000000;239000000;-227000000;-33000000;-35000000
Otros ajustes;;;;;;;;;;;;;;-30000000;21000000
Variación neta de efectivo;174000000;-527000000;630000000;-1113000000;-150000000;427000000;108000000;-224000000;28000000;2432000000;-516000000;-426000000;-808000000;-659000000;1069000000
Efectivo y equiv. - Fin período;1584000000;1076000000;1750000000;622000000;472000000;1089000000;1191000000;874000000;932000000;3323000000;2749000000;2285000000;1439000000;1130000000;2200000000
Var. capital circulante;-32000000;530000000;477000000;446000000;281000000;-335000000;-253000000;29000000;23000000;366000000;-232000000;231000000;1251000000;638000000;337000000
FCF apalancado;1329250000;886750000;1000500000;877125000;1031750000;1745125000;2041250000;1883125000;1903125000;1751625000;2071125000;1704250000;872375000;1564250000;1689250000
FCF no apalancado;1733625000;1289250000;1408625000;1234625000;1396125000;2088875000;2365000000;2175000000;2306875000;2170375000;2447375000;2227375000;1424250000;2321750000;2436750000
FCF simple;1764000000;1619000000;1397000000;1148000000;1913000000;2042000000;2614000000;2500000000;2577000000;1620000000;3028000000;2838000000;1844000000;2595000000;2685000000
Ingresos propios;2183000000;2096000000;2033000000;1790000000;2551000000;2548000000;3132000000;3084000000;3248000000;2320000000;3654000000;3935000000;3024000000;4105000000;4297000000
Nº Acciones básicas;2493000000;2495000000;2502000000;2506000000;2505000000;2508000000;2512000000;2484000000;2418000000;2346000000;2337000000;2318000000;2264000000;2234000000;2222000000
Nº Acciones diluidas;2501000000;2509000000;2517000000;2517000000;2517000000;2518000000;2523000000;2495000000;2428000000;2354000000;2345000000;2325000000;2271000000;2239000000;2228000000
