Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Pasivos no circulantes;5544000000;4228000000;3092000000;3722000000;2164000000;5764000000;4941000000;3529000000;4258000000;3987000000;3612000000;3861000000;3972000000;4356000000;3535000000
Pasivos totales;9817000000;10014000000;9186000000;9317000000;8512000000;12766000000;12692000000;12563000000;12798000000;12367000000;12880000000;13013000000;11729000000;13445000000;11953000000
Patrimonio ordinario, Total;8549000000;9376000000;10044000000;11508000000;13661000000;15047000000;15573000000;16915000000;18523000000;17776000000;19715000000;20083000000;19922000000;21732000000;20494000000
Acciones ordinarias;438000000;438000000;438000000;438000000;438000000;438000000;438000000;438000000;438000000;438000000;438000000;438000000;438000000;438000000;438000000
Beneficio no distribuido;8494000000;9381000000;10561000000;11396000000;12984000000;14236000000;16101000000;17288000000;18659000000;19150000000;20360000000;20903000000;21363000000;22619000000;23822000000
Autocartera;-93000000;-91000000;-91000000;-91000000;-91000000;-91000000;-91000000;-91000000;-91000000;-91000000;-91000000;-870000000;-1054000000;-1052000000;-1907000000
Resultado global y otros;-290000000;-352000000;-864000000;-235000000;330000000;464000000;-875000000;-720000000;-483000000;-1721000000;-992000000;-388000000;-825000000;-273000000;-1859000000
Intereses minoritarios;121000000;135000000;114000000;136000000;150000000;138000000;74000000;84000000;88000000;95000000;79000000;74000000;77000000;90000000;86000000
Patrimonio neto;8670000000;9511000000;10158000000;11644000000;13811000000;15185000000;15647000000;16999000000;18611000000;17871000000;19794000000;20157000000;19999000000;21822000000;20580000000
Total pasivos y patrimonio neto;18487000000;19525000000;19344000000;20961000000;22323000000;27951000000;28339000000;29562000000;31409000000;30238000000;32674000000;33170000000;31728000000;35267000000;32533000000
Valor en libros tangible;-220000000;731000000;1855000000;918000000;1979000000;-517000000;-108000000;379000000;1273000000;1781000000;3068000000;2975000000;2931000000;2951000000;3243000000
Deuda total;3964000000;3809000000;2630000000;1751000000;884000000;3725000000;4344000000;4175000000;4509000000;3644000000;3442000000;3606000000;2896000000;3576000000;3042000000
Deuda neta;1478000000;305000000;-811000000;206000000;-315000000;2311000000;3133000000;2844000000;2601000000;1468000000;1030000000;2277000000;706000000;687000000;-522000000
Fondo de maniobra;2366000000;1812000000;1890000000;1216000000;569000000;1211000000;724000000;-351000000;590000000;952000000;1142000000;1273000000;1525000000;1942000000;1652000000
Fondo de maniobra neto;293000000;-351000000;-307000000;68000000;250000000;222000000;781000000;937000000;836000000;311000000;146000000;1136000000;-137000000;580000000;-252000000
Capital total;12634000000;13320000000;12788000000;13395000000;14695000000;18910000000;19991000000;21174000000;23120000000;21515000000;23236000000;23763000000;22895000000;25398000000;23622000000
Capital invertido;10148000000;9816000000;9347000000;11850000000;13496000000;17496000000;18780000000;19843000000;21212000000;19339000000;20824000000;22434000000;20705000000;22509000000;20058000000
Capital empleado;14214000000;13739000000;13250000000;15366000000;15975000000;20949000000;20588000000;20528000000;22869000000;21858000000;23406000000;24018000000;23971000000;26178000000;24115000000
Ventas;15605000000;16510000000;16355000000;16428000000;18089000000;18714000000;20029000000;19899000000;20114000000;19250000000;20066000000;22397000000;21514000000;21586000000;20495000000
Ventas totales;15605000000;16510000000;16355000000;16428000000;18089000000;18714000000;20029000000;19899000000;20114000000;19250000000;20066000000;22397000000;21514000000;21586000000;20495000000
Coste de ventas;-8434000000;-8726000000;-8472000000;-8595000000;-9334000000;-9627000000;-10556000000;-10653000000;-10811000000;-10259000000;-10999000000;-12924000000;-11672000000;-10765000000;-10074000000
Coste de los bienes vendidos;-8434000000;-8726000000;-8472000000;-8595000000;-9334000000;-9627000000;-10556000000;-10653000000;-10811000000;-10259000000;-10999000000;-12924000000;-11672000000;-10765000000;-10074000000
Beneficio bruto;7171000000;7784000000;7883000000;7833000000;8755000000;9087000000;9473000000;9246000000;9303000000;8991000000;9067000000;9473000000;9842000000;10821000000;10421000000
Gastos operativos totales;-5149000000;-5509000000;-5439000000;-5273000000;-5938000000;-5998000000;-6166000000;-5917000000;-6139000000;-6750000000;-6485000000;-7316000000;-7161000000;-7990000000;-7603000000
Gastos en VG&A;-4782000000;-5043000000;-4991000000;-4894000000;-5481000000;-5480000000;-5706000000;-5475000000;-5705000000;-6223000000;-6032000000;-6818000000;-6792000000;-7308000000;-6980000000
Gastos de I+D;-396000000;-406000000;-414000000;-410000000;-464000000;-460000000;-469000000;-471000000;-487000000;-494000000;-504000000;-544000000;-581000000;-634000000;-630000000
Otros gastos operativos;29000000;-60000000;-34000000;31000000;7000000;-58000000;9000000;29000000;53000000;-33000000;51000000;46000000;212000000;-48000000;7000000
Beneficio operativo;2022000000;2275000000;2444000000;2560000000;2817000000;3089000000;3307000000;3329000000;3164000000;2241000000;2582000000;2157000000;2681000000;2831000000;2818000000
Gastos no operativos totales;-160000000;-143000000;-89000000;-30000000;-19000000;-21000000;-52000000;-60000000;-84000000;-88000000;-61000000;-116000000;-116000000;-108000000;-90000000
Gastos por intereses;-200000000;-190000000;-94000000;-48000000;-45000000;-25000000;-55000000;-71000000;-88000000;-70000000;-46000000;-73000000;-106000000;-113000000;-99000000
Ingresos por int. e inversiones;40000000;47000000;36000000;45000000;28000000;20000000;18000000;11000000;13000000;29000000;28000000;37000000;73000000;101000000;96000000
Otros ingresos y gastos no operativos;;;-31000000;-27000000;-2000000;-16000000;-15000000;0;-9000000;-47000000;-43000000;-80000000;-83000000;-96000000;-87000000
EBT excluyendo ítems inusuales;1862000000;2132000000;2355000000;2530000000;2798000000;3068000000;3255000000;3269000000;3080000000;2153000000;2521000000;2041000000;2565000000;2723000000;2728000000
Ítems inusuales totales;-252000000;-114000000;-183000000;-335000000;-195000000;-326000000;-267000000;-218000000;-269000000;-228000000;-373000000;-351000000;-676000000;0;0
Cargos de fusión y reestructuración;-227000000;-124000000;-159000000;-223000000;-193000000;-277000000;-263000000;-262000000;-294000000;-237000000;-228000000;-404000000;-267000000;;
Det. de fondo de comercio;;;-5000000;;;;;;-9000000;-31000000;;-88000000;-1000000;;
Beneficios o pérdidas por venta de inversiones;;;;;-1000000;-2000000;-4000000;;;;;;;;
Beneficios o pérdidas por venta de activos;68000000;13000000;34000000;1000000;26000000;6000000;13000000;33000000;10000000;15000000;46000000;46000000;-415000000;;
Reducción de valor de activos;-22000000;-11000000;-58000000;-10000000;-15000000;-68000000;-29000000;;3000000;-4000000;-208000000;88000000;2000000;;
Acuerdos de seguros;7000000;6000000;4000000;4000000;4000000;2000000;10000000;5000000;13000000;13000000;17000000;7000000;5000000;;
Acuerdos legales;;;;-109000000;-18000000;;;;;;;;;;
Otros ítems inusuales;-78000000;2000000;1000000;2000000;2000000;13000000;6000000;6000000;8000000;16000000;;;;;
EBT incluyendo ítems inusuales;1610000000;2018000000;2172000000;2195000000;2603000000;2742000000;2988000000;3051000000;2811000000;1925000000;2148000000;1690000000;1889000000;2723000000;2728000000
Gastos por impuestos;-419000000;-492000000;-547000000;-533000000;-635000000;-649000000;-447000000;-721000000;-708000000;-501000000;-519000000;-436000000;-549000000;-691000000;-670000000
Beneficios de operaciones continuas;1191000000;1526000000;1625000000;1662000000;1968000000;2093000000;2541000000;2330000000;2103000000;1424000000;1629000000;1254000000;1340000000;2032000000;2058000000
Beneficio neto total;1191000000;1526000000;1625000000;1662000000;1968000000;2093000000;2541000000;2330000000;2103000000;1424000000;1629000000;1254000000;1340000000;2032000000;2058000000
Beneficio intereses minoritarios;-30000000;-46000000;-36000000;-34000000;-47000000;-40000000;-22000000;-16000000;-18000000;-16000000;5000000;5000000;-22000000;-25000000;-23000000
Beneficio neto;1161000000;1480000000;1589000000;1628000000;1921000000;2053000000;2519000000;2314000000;2085000000;1408000000;1634000000;1259000000;1318000000;2007000000;2035000000
Beneficio neto comunes incl. ítems extra;1161000000;1480000000;1589000000;1628000000;1921000000;2053000000;2519000000;2314000000;2085000000;1408000000;1634000000;1259000000;1318000000;2007000000;2035000000
Beneficio neto comunes excl. ítems extra;1161000000;1480000000;1589000000;1628000000;1921000000;2053000000;2519000000;2314000000;2085000000;1408000000;1634000000;1259000000;1318000000;2007000000;2035000000
EBITDAR;2450000000;2719000000;2879000000;2992000000;3314000000;3632000000;3968000000;3926000000;3738000000;2792000000;3255000000;2706000000;3199000000;;
EBITDA;2384000000;2653000000;2816000000;2928000000;3248000000;3557000000;3888000000;3841000000;3697000000;2768000000;3232000000;2686000000;3184000000;3657000000;3496000000
EBITA;2103000000;2361000000;2525000000;2639000000;2908000000;3193000000;3487000000;3436000000;3273000000;2341000000;2671000000;2240000000;2748000000;2831000000;2818000000
EBIT;2022000000;2275000000;2444000000;2560000000;2817000000;3089000000;3307000000;3329000000;3164000000;2241000000;2582000000;2157000000;2681000000;2831000000;2818000000
Beneficio neto;1161000000;1480000000;1589000000;1628000000;1921000000;2053000000;2519000000;2314000000;2085000000;1408000000;1634000000;1259000000;1318000000;2007000000;2035000000
D&A total;362000000;378000000;372000000;368000000;431000000;468000000;581000000;512000000;666000000;663000000;650000000;682000000;652000000;826000000;678000000
Amortización de intangibles;81000000;86000000;81000000;79000000;91000000;104000000;180000000;107000000;109000000;100000000;89000000;83000000;67000000;;
Depreciación y amortización;281000000;292000000;291000000;289000000;340000000;364000000;401000000;405000000;557000000;563000000;561000000;599000000;585000000;826000000;678000000
Amortización de cargos diferidos;21000000;20000000;20000000;20000000;19000000;34000000;44000000;42000000;51000000;55000000;62000000;62000000;50000000;;
Otros elementos no monetarios;130000000;130000000;155000000;76000000;-7000000;14000000;-180000000;209000000;236000000;357000000;150000000;-75000000;609000000;254000000;84000000
Venta de activos;-68000000;-12000000;-35000000;-1000000;-26000000;-7000000;-36000000;-31000000;-11000000;-15000000;-46000000;-46000000;205000000;6000000;-46000000
Costes de reestructuración;20000000;11000000;28000000;28000000;10000000;68000000;47000000;24000000;40000000;378000000;266000000;131000000;216000000;;
Otras actividades operativas;178000000;131000000;162000000;49000000;9000000;-47000000;-191000000;216000000;207000000;-6000000;-70000000;-160000000;188000000;248000000;130000000
Variación activos operativos;-112000000;626000000;-20000000;-178000000;20000000;281000000;-496000000;-379000000;203000000;597000000;-355000000;-681000000;626000000;33000000;-262000000
Var. cuentas por cobrar;-111000000;-37000000;-101000000;-184000000;-140000000;-240000000;-322000000;-89000000;241000000;102000000;-351000000;-185000000;47000000;-50000000;-31000000
Variación inventario;-105000000;64000000;-128000000;-103000000;-25000000;10000000;-181000000;-156000000;;-141000000;-391000000;-722000000;605000000;-122000000;93000000
Var. cuentas por pagar;111000000;256000000;342000000;55000000;77000000;341000000;217000000;32000000;63000000;295000000;328000000;306000000;-468000000;187000000;-255000000
Var. otros activos;-7000000;343000000;-133000000;54000000;108000000;170000000;-210000000;-166000000;-101000000;341000000;59000000;-80000000;442000000;18000000;-69000000
Flujo operativo;1562000000;2634000000;2116000000;1914000000;2384000000;2850000000;2468000000;2698000000;3241000000;3080000000;2141000000;1247000000;3255000000;3120000000;2535000000
Gastos de capital (Capex);-384000000;-393000000;-404000000;-531000000;-514000000;-557000000;-700000000;-837000000;-677000000;-715000000;-647000000;-593000000;-608000000;-626000000;-693000000
Venta de activos tangibles;47000000;58000000;62000000;13000000;35000000;34000000;31000000;68000000;78000000;20000000;23000000;27000000;17000000;16000000;18000000
Adquisiciones;-4000000;-113000000;-31000000;-1719000000;-322000000;-3727000000;-1830000000;-429000000;-564000000;-452000000;-164000000;-85000000;-513000000;-1333000000;-57000000
Desinversiones;53000000;3000000;24000000;6000000;25000000;;53000000;4000000;8000000;53000000;257000000;103000000;368000000;92000000;194000000
Otras actividades de inversión;-9000000;-34000000;-32000000;;-117000000;;-5000000;-14000000;-306000000;-167000000;52000000;348000000;52000000;-479000000;228000000
Activos intangibles;-9000000;-29000000;-32000000;;-111000000;;;;;;;;;;
Inv. en valores negociables;;-5000000;;;-6000000;;-5000000;-14000000;-288000000;-167000000;51000000;331000000;-6000000;-565000000;137000000
Préstamos netos (inversión);;;;;;;;;-18000000;;1000000;;;;
Otras act. de inversión;;;;;;;;;;;;17000000;58000000;86000000;91000000
Flujo de inversión;-297000000;-479000000;-381000000;-2231000000;-893000000;-4250000000;-2451000000;-1208000000;-1461000000;-1261000000;-479000000;-200000000;-684000000;-2330000000;-310000000
Flujo neto de deuda;-181000000;-131000000;-1059000000;-755000000;-1025000000;2740000000;954000000;-289000000;-463000000;-699000000;-578000000;-253000000;-732000000;1077000000;-512000000
Deuda total emitida;;;;275000000;275000000;2740000000;954000000;1158000000;847000000;518000000;720000000;819000000;;1223000000;
Deuda total pagada;-181000000;-131000000;-1059000000;-1030000000;-1300000000;;;-1447000000;-1310000000;-1217000000;-1298000000;-1072000000;-732000000;-146000000;-512000000
Flujo neto de acciones;0;0;0;0;0;0;0;-33000000;0;0;0;-803000000;-195000000;0;-856000000
Recompra de acciones comunes;;;;;;;;-33000000;;;;-803000000;-195000000;;-856000000
Dividendos totales;-307000000;-342000000;-407000000;-525000000;-564000000;-633000000;-698000000;-772000000;-798000000;-798000000;-798000000;-795000000;-771000000;-771000000;-850000000
Dividendos comunes;-307000000;-342000000;-407000000;-525000000;-564000000;-633000000;-698000000;-772000000;-798000000;-798000000;-798000000;-795000000;-771000000;-771000000;-850000000
Otras act. de financiación;-314000000;-2385000000;-383000000;1727000000;34000000;-429000000;-668000000;-236000000;-134000000;22000000;82000000;-54000000;-56000000;-135000000;-73000000
Flujo de financiación;-802000000;-2858000000;-1849000000;447000000;-1555000000;1678000000;-412000000;-1330000000;-1395000000;-1475000000;-1294000000;-1905000000;-1754000000;171000000;-2291000000
Ajustes por tipo de cambio;2000000;-39000000;-63000000;37000000;12000000;-65000000;-75000000;-16000000;12000000;-77000000;21000000;-35000000;-89000000;-23000000;-115000000
Otros ajustes;;;;;;;;;;;;-135000000;135000000;;
Variación neta de efectivo;465000000;-742000000;-177000000;167000000;-52000000;213000000;-470000000;144000000;397000000;267000000;389000000;-1028000000;863000000;938000000;-181000000
Efectivo y equiv. - Fin período;1980000000;1238000000;1051000000;1228000000;1176000000;1389000000;919000000;1063000000;1460000000;1727000000;2116000000;1088000000;1951000000;2889000000;2708000000
Var. capital circulante;327000000;-644000000;44000000;375000000;182000000;-28000000;559000000;156000000;-101000000;-525000000;-165000000;990000000;-1273000000;717000000;-372000000
FCF apalancado;801750000;1923125000;1380750000;1052000000;1375500000;1888000000;1419500000;1598250000;2074500000;1912875000;1845000000;497500000;3003375000;1181750000;2056375000
FCF no apalancado;926750000;2041875000;1439500000;1082000000;1403625000;1903625000;1453875000;1642625000;2129500000;1956625000;1873750000;543125000;3069625000;1252375000;2118250000
FCF simple;1178000000;2241000000;1712000000;1383000000;1870000000;2293000000;1768000000;1861000000;2564000000;2365000000;1494000000;654000000;2647000000;2494000000;1842000000
Ingresos propios;1562000000;2634000000;2116000000;1914000000;2384000000;2850000000;2468000000;2698000000;3241000000;3080000000;2141000000;1247000000;3255000000;3120000000;2535000000
Nº Acciones básicas;434105282;434256777;434278180;434278185;434278187;434278198;434278198;434278198;434278198;434278198;434278198;428416547;419720744;;
Nº Acciones diluidas;434263501;434269598;434278180;434278185;434278187;434278198;434278198;434278198;434278198;434278198;434278198;428416547;419720744;;
