Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Otros pasivos, Total;3194000000;3641000000;3498000000;3745000000;4157000000;4424000000;3872000000;3827000000;4151000000;4946000000;4349000000;4583000000;4878000000;4356000000;4216000000
Ingresos no devengados (LP);;;;;;;;10000000;21000000;37000000;;;;;
Impuestos diferidos (LP);917000000;1314000000;1659000000;1623000000;2127000000;2331000000;1655000000;1975000000;2015000000;2332000000;2334000000;2858000000;2886000000;2535000000;2316000000
Otros pasivos;2277000000;2327000000;1839000000;2122000000;2030000000;2093000000;2217000000;1842000000;2115000000;2577000000;2015000000;1725000000;1992000000;1821000000;1900000000
Pasivos no circulantes;7174000000;7945000000;9274000000;10440000000;11834000000;12829000000;12479000000;12369000000;17058000000;21797000000;17524000000;16862000000;16792000000;16453000000;17667000000
Pasivos totales;12192000000;13041000000;14784000000;15877000000;16183000000;17369000000;17256000000;17882000000;22256000000;27299000000;24754000000;23622000000;23942000000;23158000000;23796000000
Patrimonio ordinario, Total;10593000000;11139000000;12478000000;8314000000;6550000000;6048000000;8949000000;10257000000;8044000000;7971000000;11858000000;12615000000;12930000000;12462000000;10082000000
Acciones ordinarias;31000000;31000000;31000000;31000000;31000000;31000000;31000000;22000000;19000000;19000000;19000000;19000000;19000000;19000000;19000000
Capital desembolsado adicional;10272000000;10351000000;10382000000;10387000000;10202000000;10191000000;10206000000;7041000000;5954000000;5986000000;6044000000;6119000000;6145000000;6150000000;6148000000
Beneficio no distribuido;841000000;1274000000;4004000000;6775000000;9841000000;12282000000;15746000000;6763000000;4435000000;4440000000;8563000000;9195000000;9692000000;9325000000;6812000000
Autocartera;-124000000;-106000000;-2035000000;-7853000000;-12086000000;-14945000000;-15749000000;-2206000000;-580000000;-531000000;-965000000;-1346000000;-1450000000;-1500000000;-1587000000
Resultado global y otros;-427000000;-411000000;96000000;-1026000000;-1438000000;-1511000000;-1285000000;-1363000000;-1784000000;-1943000000;-1803000000;-1372000000;-1476000000;-1532000000;-1310000000
Intereses minoritarios;54000000;40000000;36000000;30000000;24000000;25000000;1000000;139000000;135000000;133000000;130000000;128000000;128000000;126000000;125000000
Patrimonio neto;10647000000;11179000000;12514000000;8344000000;6574000000;6073000000;8950000000;10396000000;8179000000;8104000000;11988000000;12743000000;13058000000;12588000000;10207000000
Total pasivos y patrimonio neto;22839000000;24220000000;27298000000;24221000000;22757000000;23442000000;26206000000;28278000000;30435000000;35403000000;36742000000;36365000000;37000000000;35746000000;34003000000
Valor en libros tangible;8831000000;9510000000;10969000000;6979000000;5374000000;4970000000;7811000000;7478000000;5284000000;5267000000;9288000000;10126000000;10642000000;10324000000;8924000000
Deuda total;4032000000;4400000000;5835000000;7045000000;8034000000;9001000000;8682000000;9448000000;13782000000;17832000000;13882000000;13427000000;13204000000;13069000000;14265000000
Deuda neta;2967000000;1668000000;1385000000;4415000000;6040000000;6979000000;5832000000;8191000000;12706000000;15367000000;12394000000;11260000000;9776000000;9694000000;10822000000
Fondo de maniobra;6417000000;7190000000;9089000000;6208000000;5440000000;5059000000;6961000000;5053000000;4312000000;6132000000;4987000000;5085000000;6002000000;5561000000;4739000000
Fondo de maniobra neto;5404000000;4554000000;4698000000;3928000000;3803000000;3633000000;4186000000;4702000000;4111000000;4648000000;4206000000;4066000000;3864000000;3158000000;2110000000
Capital total;14679000000;15579000000;18349000000;15389000000;14608000000;15074000000;17632000000;19844000000;21961000000;25936000000;25870000000;26170000000;26262000000;25657000000;24472000000
Capital invertido;13614000000;12847000000;13899000000;12759000000;12614000000;13052000000;14782000000;18587000000;20885000000;23471000000;24382000000;24003000000;22834000000;22282000000;21029000000
Capital empleado;17821000000;19124000000;21788000000;18784000000;18408000000;18902000000;21429000000;22765000000;25237000000;29901000000;29512000000;29605000000;29850000000;29041000000;27874000000
Ventas;48183000000;45352000000;44062000000;45608000000;32735000000;29183000000;34484000000;39004000000;34727000000;27753000000;46173000000;50451000000;41107000000;40302000000;30153000000
Ventas totales;48183000000;45352000000;44062000000;45608000000;32735000000;29183000000;34484000000;39004000000;34727000000;27753000000;46173000000;50451000000;41107000000;40302000000;30153000000
Coste de ventas;-42731000000;-39598000000;-37940000000;-38939000000;-25683000000;-23191000000;-28059000000;-32529000000;-29301000000;-24359000000;-37397000000;-43847000000;-35849000000;-35738000000;-27576000000
Coste de los bienes vendidos;-42731000000;-39598000000;-37940000000;-38939000000;-25683000000;-23191000000;-28059000000;-32529000000;-29301000000;-24359000000;-37397000000;-43847000000;-35849000000;-35738000000;-27576000000
Beneficio bruto;5452000000;5754000000;6122000000;6669000000;7052000000;5992000000;6425000000;6475000000;5426000000;3394000000;8776000000;6604000000;5258000000;4564000000;2577000000
Gastos operativos totales;-1114000000;-1081000000;-1020000000;-933000000;-930000000;-979000000;-949000000;-1152000000;-1310000000;-1250000000;-1385000000;-1446000000;-1718000000;-1816000000;-1746000000
Gastos en VG&A;-918000000;-909000000;-870000000;-806000000;-828000000;-880000000;-843000000;-1037000000;-1199000000;-1137000000;-1261000000;-1322000000;-1588000000;-1681000000;-1610000000
Gastos de I+D;-196000000;-172000000;-150000000;-127000000;-102000000;-99000000;-106000000;-115000000;-111000000;-113000000;-124000000;-124000000;-130000000;-135000000;-136000000
Beneficio operativo;4338000000;4673000000;5102000000;5736000000;6122000000;5013000000;5476000000;5323000000;4116000000;2144000000;7391000000;5158000000;3540000000;2748000000;831000000
Gastos no operativos totales;-817000000;-491000000;-106000000;-24000000;87000000;142000000;-122000000;23000000;-71000000;-183000000;12000000;-240000000;-402000000;-487000000;-296000000
Gastos por intereses;-1044000000;-655000000;-309000000;-352000000;-310000000;-322000000;-491000000;-362000000;-354000000;-533000000;-526000000;-294000000;-484000000;-488000000;-494000000
Ingresos por int. e inversiones;37000000;15000000;15000000;33000000;33000000;17000000;24000000;45000000;19000000;12000000;9000000;29000000;129000000;150000000;97000000
Otros ingresos y gastos no operativos;190000000;149000000;188000000;295000000;364000000;447000000;345000000;340000000;264000000;338000000;529000000;25000000;-47000000;-149000000;101000000
EBT excluyendo ítems inusuales;3521000000;4182000000;4996000000;5712000000;6209000000;5155000000;5354000000;5346000000;4045000000;1961000000;7403000000;4918000000;3138000000;2261000000;535000000
Ítems inusuales totales;10000000;3000000;0;0;0;78000000;139000000;-37000000;0;-582000000;-624000000;-149000000;-518000000;-665000000;-1257000000
Cargos de fusión y reestructuración;;-57000000;;;;;;-73000000;;;;;;;
Det. de fondo de comercio;;;;;;;;;;;;;-252000000;;-972000000
Beneficios o pérdidas por venta de inversiones;;;;;;;108000000;;;;;;-192000000;;
Beneficios o pérdidas por venta de activos;41000000;;;;;78000000;31000000;36000000;;;;;;284000000;-6000000
Reducción de valor de activos;;;;;;;;;;-582000000;-624000000;-69000000;-74000000;-949000000;-279000000
Acuerdos de seguros;34000000;100000000;;;;;;;;;;;;;
Otros ítems inusuales;-65000000;-40000000;;;;;;;;;;-80000000;;;
EBT incluyendo ítems inusuales;3531000000;4185000000;4996000000;5712000000;6209000000;5233000000;5493000000;5309000000;4045000000;1379000000;6779000000;4769000000;2620000000;1596000000;-722000000
Gastos por impuestos;-1059000000;-1327000000;-1136000000;-1540000000;-1730000000;-1386000000;-598000000;-613000000;-648000000;43000000;-1163000000;-882000000;-501000000;-240000000;-70000000
Beneficios de operaciones continuas;2472000000;2858000000;3860000000;4172000000;4479000000;3847000000;4895000000;4696000000;3397000000;1422000000;5616000000;3887000000;2119000000;1356000000;-792000000
Beneficios de operaciones descontinuadas;-332000000;-24000000;-7000000;-4000000;-5000000;-10000000;-18000000;-8000000;-7000000;-2000000;-6000000;-5000000;-5000000;4000000;47000000
Beneficio neto total;2140000000;2834000000;3853000000;4168000000;4474000000;3837000000;4877000000;4688000000;3390000000;1420000000;5610000000;3882000000;2114000000;1360000000;-745000000
Beneficio intereses minoritarios;7000000;14000000;4000000;6000000;2000000;-1000000;2000000;;;;;;;;
Beneficio neto;2147000000;2848000000;3857000000;4174000000;4476000000;3836000000;4879000000;4688000000;3390000000;1420000000;5610000000;3882000000;2114000000;1360000000;-745000000
Dividendos preferentes y ajustes;12000000;3000000;11000000;12000000;8000000;4000000;5000000;6000000;6000000;3000000;14000000;10000000;7000000;6000000;
Beneficio neto comunes incl. ítems extra;2135000000;2845000000;3846000000;4162000000;4468000000;3832000000;4874000000;4682000000;3384000000;1417000000;5596000000;3872000000;2107000000;1354000000;-745000000
Beneficio neto comunes excl. ítems extra;2467000000;2869000000;3853000000;4166000000;4473000000;3842000000;4892000000;4690000000;3391000000;1419000000;5602000000;3877000000;2112000000;1350000000;-792000000
EBITDAR;5519000000;5915000000;6399000000;7120000000;7548000000;6448000000;;;6021000000;3842000000;9034000000;6792000000;5479000000;4648000000;
EBITDA;5208000000;5602000000;6071000000;6708000000;7126000000;6022000000;6593000000;6511000000;5369000000;3449000000;8616000000;6256000000;4909000000;4129000000;2221000000
EBITA;4480000000;4794000000;5217000000;5843000000;6251000000;5102000000;5570000000;5436000000;4277000000;2306000000;7470000000;5223000000;3606000000;2806000000;831000000
EBIT;4338000000;4673000000;5102000000;5736000000;6122000000;5013000000;5476000000;5323000000;4116000000;2144000000;7391000000;5158000000;3540000000;2748000000;831000000
Beneficio neto;2147000000;2848000000;3857000000;4174000000;4476000000;3836000000;4879000000;4688000000;3390000000;1420000000;5610000000;3882000000;2114000000;1360000000;-745000000
D&A total;870000000;929000000;969000000;972000000;1004000000;1009000000;1117000000;1188000000;1253000000;1305000000;1225000000;1098000000;1369000000;1381000000;1390000000
Amortización de intangibles;142000000;121000000;115000000;107000000;129000000;89000000;94000000;113000000;161000000;162000000;79000000;65000000;66000000;58000000;
Depreciación y amortización;728000000;808000000;854000000;865000000;875000000;920000000;1023000000;1075000000;1092000000;1143000000;1146000000;1033000000;1303000000;1323000000;1390000000
Amortización de cargos diferidos;93000000;82000000;41000000;38000000;31000000;31000000;31000000;26000000;21000000;29000000;47000000;28000000;26000000;34000000;11000000
Otros elementos no monetarios;407000000;757000000;-35000000;859000000;577000000;607000000;-228000000;-524000000;310000000;339000000;1773000000;661000000;1164000000;1014000000;742000000
