Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;29/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Acciones ordinarias;836900000;836200000;824300000;771700000;712900000;681300000;662900000;662800000;662400000;522200000;522100000;517600000;455200000;374000000;369900000
Capital desembolsado adicional;3572100000;3623600000;3747600000;3871200000;4000400000;6635300000;6688500000;6773100000;6773600000;6937800000;6970900000;7006400000;7108400000;7223600000;7247200000
Beneficio no distribuido;3689700000;3900500000;4199500000;4439900000;4496000000;6145300000;6958400000;7692900000;7617000000;6544200000;7401500000;6894100000;7484300000;8238000000;5723700000
Autocartera;-321100000;-321100000;-321100000;-321100000;-471400000;-471400000;-471400000;-471400000;-471400000;-471400000;-471400000;-522900000;-735600000;-1380800000;-2038900000
Resultado global y otros;-129700000;-72300000;154900000;-898400000;-1694900000;-1571800000;-860000000;-1150000000;-1162200000;-1167800000;-1006000000;-1205500000;-1116300000;-1362400000;-1071600000
Intereses minoritarios;42300000;24700000;24900000;22800000;20100000;203000000;208900000;228400000;253700000;256300000;247000000;225500000;239100000;360300000;312400000
Patrimonio neto;7690200000;7991600000;8630100000;7886100000;7063100000;11621700000;13187300000;13735800000;13673100000;12621300000;13664100000;12915200000;13435100000;13452700000;10542700000
Total pasivos y patrimonio neto;12423800000;16212200000;15580100000;13980100000;12276300000;29341500000;30246900000;30109800000;28859800000;27331100000;27619000000;25868300000;26375100000;26064300000;22738400000
Valor en libros tangible;1608600000;-1721000000;-638600000;-84100000;314000000;-10863300000;-9723600000;-8529800000;-7868000000;-7342100000;-6022300000;-5402300000;-4743900000;-4685100000;-3705500000
Deuda total;1961800000;4668100000;3799900000;3183300000;2937400000;12072500000;11313500000;10585900000;9315300000;8603300000;7466100000;6706300000;6434700000;6354300000;6512400000
Deuda neta;882900000;4044100000;3357600000;2558700000;2506500000;11511600000;10894900000;9528000000;8791900000;7833200000;6828700000;6106300000;5565800000;5385000000;5532200000
Fondo de maniobra;840800000;-850700000;-623700000;-747800000;41600000;-987900000;-1209600000;-1534600000;-1511100000;-1490800000;-843500000;-737400000;-1244100000;-196800000;-2375300000
Fondo de maniobra neto;-191200000;-229100000;-479100000;-510400000;-360600000;-864000000;-913400000;-994800000;-1059700000;-1146000000;-852900000;-895600000;-1154300000;-1087200000;-868600000
Capital total;9652000000;12659700000;12430000000;11069400000;10000500000;23694200000;24500800000;24321700000;22988400000;21224600000;21130200000;19621500000;19869800000;19807000000;17055100000
Capital invertido;8573100000;12035700000;11987700000;10444800000;9569600000;23133300000;24082200000;23263800000;22465000000;20454500000;20492800000;19021500000;19000900000;18837700000;16074900000
Capital empleado;11146600000;13613500000;13418700000;11655200000;11059100000;26184000000;26847600000;25808900000;25164300000;23421500000;23996800000;22492900000;22282500000;23019100000;17427600000
Ventas;3515700000;3916500000;4206100000;4146300000;3567500000;4885000000;11002800000;10769600000;10579400000;9654000000;10279700000;10701000000;11702100000;11627000000;11140800000
Ventas totales;3515700000;3916500000;4206100000;4146300000;3567500000;4885000000;11002800000;10769600000;10579400000;9654000000;10279700000;10701000000;11702100000;11627000000;11140800000
