Periodo fiscal;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Capital total;;2121971000;2054445000;2086960000;2217476000;3768241000;7021220000;7450411000;7370495000;7127230000;6987403000;7420826000
Capital invertido;0;2088540000;2031611000;2038087000;2009398000;3533938000;6400169000;7367453000;7301860000;7057257000;6925610000;7282057000
Capital empleado;0;2186537000;2117162000;2153638000;2279348000;3819720000;7278604000;7656785000;7547021000;7200449000;6678695000;6303061000
Ventas;1039005000;1057124000;1080867000;1145662000;1176912000;1377217000;1549314000;2085387000;2302971000;2391089000;2416743000;2377116000
Otras ventas;450603000;420723000;409004000;396562000;425654000;406377000;438163000;629403000;611764000;282240000;246096000;222618000
Ventas totales;1489608000;1477847000;1489871000;1542224000;1602566000;1783594000;1987477000;2714790000;2914735000;2673329000;2662839000;2599734000
Coste de ventas;-1187079000;-1144365000;-1144354000;-1172159000;-1197986000;-1305448000;-1436229000;-2085014000;-2218772000;-1924729000;-1819814000;-1762460000
Coste de los bienes vendidos;-1187079000;-1144365000;-1144354000;-1172159000;-1197986000;-1305448000;-1436229000;-2085014000;-2218772000;-1924729000;-1819814000;-1762460000
Beneficio bruto;302529000;333482000;345517000;370065000;404580000;478146000;551248000;629776000;695963000;748600000;843025000;837274000
Gastos operativos totales;-216501000;-218314000;-218809000;-227355000;-229697000;-295998000;-361707000;-501916000;-560269000;-581420000;-618584000;-654008000
Gastos en VG&A;-83822000;-92594000;-100238000;-102478000;-112035000;-131294000;-145407000;-182076000;-228823000;-227677000;-255118000;-269474000
Gastos en D&A;-132679000;-125720000;-118571000;-116741000;-117653000;-163348000;-215891000;-319840000;-331446000;-353743000;-360817000;-367362000
Otros gastos operativos;;;;-8136000;-9000;-1356000;-409000;;;;-2649000;-17172000
Beneficio operativo;86028000;115168000;126708000;142710000;174883000;182148000;189541000;127860000;135694000;167180000;224441000;183266000
Gastos no operativos totales;-118700000;-117564000;-119338000;-116497000;-85756000;-89793000;-137435000;-97155000;-109638000;-192066000;-127132000;-138259000
Gastos por intereses;-114223000;-116710000;-119552000;-114898000;-93312000;-94408000;-91481000;-99177000;-116127000;-140107000;-135323000;-147776000
Ingresos por int. e inversiones;717000;724000;708000;1074000;3996000;6286000;1162000;;1633000;2434000;4951000;3087000
Otros ingresos y gastos no operativos;-5194000;-1578000;-494000;-2673000;3560000;-1671000;-47116000;2022000;4856000;-54393000;3240000;6430000
EBT excluyendo ítems inusuales;-32672000;-2396000;7370000;26213000;89127000;92355000;52106000;30705000;26056000;-24886000;97309000;45007000
Ítems inusuales totales;55000;-9143000;3441000;-17428000;-44761000;-49350000;-34478000;-61302000;-55984000;-303203000;-200486000;-180740000
Cargos de fusión y reestructuración;;;;;-671000;-24284000;-26466000;-39265000;-20073000;-5094000;-59629000;-38847000
Det. de fondo de comercio;;;;;;;;;-3211000;-236515000;;
Beneficios o pérdidas por venta de inversiones;;;;-6496000;;4297000;;-723000;-8623000;-5402000;11431000;
Beneficios o pérdidas por venta de activos;55000;-6297000;11598000;43000;7471000;-904000;19630000;;-5689000;2254000;3420000;-46920000
Reducción de valor de activos;;-3715000;-9820000;-9473000;-747000;-13485000;-8236000;-3312000;-4169000;;-33126000;-47099000
Acuerdos de seguros;;;3100000;;;;;447000;3806000;;5210000;
Acuerdos legales;;;;;;-4553000;-310000;-2217000;-179000;2471000;;
Otros ítems inusuales;;869000;-1437000;-1502000;-50814000;-10421000;-19096000;-16232000;-17846000;-60917000;-127792000;-47874000
EBT incluyendo ítems inusuales;-32617000;-11539000;10811000;8785000;44366000;43005000;17628000;-30597000;-29928000;-328089000;-103177000;-135733000
Gastos por impuestos;-9817000;-9637000;-5879000;-9393000;3619000;5157000;6927000;1569000;18836000;2273000;8428000;20451000
Beneficios de operaciones continuas;-42434000;-21176000;4932000;-608000;47985000;48162000;24555000;-29028000;-11092000;-325816000;-94749000;-115282000
Beneficios de operaciones descontinuadas;;;;;;;;-1281000;-8382000;-10453000;;
Beneficio neto total;-42434000;-21176000;4932000;-608000;47985000;48162000;24555000;-30309000;-19474000;-336269000;-94749000;-115282000
Beneficio intereses minoritarios;;;;;;;-15000;-146000;34000;54000;436000;734000
Beneficio neto;-42434000;-21176000;4932000;-608000;47985000;48162000;24540000;-30455000;-19440000;-336215000;-94313000;-114548000
Dividendos preferentes y ajustes;29535000;29458000;29388000;29319000;1818000;;;;;;;
Beneficio neto comunes incl. ítems extra;-71969000;-50634000;-24456000;-29927000;46167000;48162000;24540000;-30455000;-19440000;-336215000;-94313000;-114548000
Beneficio neto comunes excl. ítems extra;-71969000;-50634000;-24456000;-29927000;46167000;48162000;24540000;-29174000;-11058000;-325762000;-94313000;-114548000
EBITDAR;257037000;280908000;281275000;296902000;324187000;367953000;445468000;503320000;511480000;560038000;612568000;577585000
EBITDA;208037000;237008000;240875000;254602000;287487000;339247000;422088000;447700000;467140000;520923000;585258000;550628000
EBITA;89458000;118388000;128704000;143761000;175834000;190199000;204993000;162060000;171394000;204080000;260841000;219766000
EBIT;86028000;115168000;126708000;142710000;174883000;182148000;189541000;127860000;135694000;167180000;224441000;183266000
FFO;18659000;46613000;62109000;68031000;128827000;176899000;;174051000;205338000;-113746000;149584000;204074000
AFFO;81152000;59754000;71125000;94616000;170433000;214530000;;299495000;300280000;351625000;420389000;408274000
Beneficio neto;-42434000;-21176000;4932000;-608000;47985000;48162000;24540000;-30455000;-19440000;-336215000;-94313000;-114548000
D&A total;122009000;121840000;114167000;111892000;112604000;157099000;232547000;319840000;331446000;353743000;360817000;367362000
Amortización de intangibles;3430000;3220000;1996000;1051000;951000;8051000;15452000;34200000;35700000;36900000;36400000;36500000
Depreciación y amortización;118579000;118620000;112171000;110841000;111653000;149048000;217095000;285640000;295746000;316843000;324417000;330862000
Amortización de cargos diferidos;17444000;11072000;11793000;13604000;11377000;12428000;5147000;4425000;4833000;5095000;5329000;5869000
Otros elementos no monetarios;43863000;19634000;6750000;32344000;29610000;16576000;29161000;91961000;94146000;390349000;217881000;156138000
Venta de activos;400000;1131000;-10590000;-150000;-7623000;904000;-19630000;279000;13393000;615000;;44324000
Beneficios o pérdidas por venta de inversiones;;;;6496000;;-4297000;;;;;;-2420000
Costes de reestructuración;;9415000;9820000;9473000;747000;13485000;8236000;3312000;7380000;236515000;33126000;47099000
Provisión para pérdidas crediticias;;;;;;;;;;21972000;;
Inversiones en acciones;19990000;3538000;128000;1363000;1069000;111000;250000;2004000;9300000;5553000;3702000;2112000
Retribución en acciones;2827000;3108000;6436000;2358000;10681000;15866000;17897000;23931000;27137000;23592000;28233000;30190000
Provisión insolvencia;-231000;761000;1135000;1229000;2324000;1218000;5356000;6466000;7394000;6422000;7633000;5112000
Otras actividades operativas;20877000;1681000;-179000;11575000;22412000;-10711000;17052000;55969000;29542000;95680000;145187000;29721000
Variación activos operativos;-23639000;-24849000;-18861000;6095000;-13405000;1924000;2285000;-112711000;-110989000;-46817000;-77837000;-55180000
Var. cuentas por cobrar;6015000;-17042000;-19123000;1597000;-1940000;-3681000;-12897000;-60476000;-68629000;-2748000;22748000;20929000
Var. cuentas por pagar;-32892000;2738000;-4570000;18202000;-5219000;841000;19471000;-7504000;13291000;23545000;17349000;-17044000
Var. otros activos;3238000;-10545000;4832000;-13704000;-6246000;4764000;-4289000;-44731000;-55651000;-67614000;-117934000;-59065000
