Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Autocartera;-131053000;-127948000;-124623000;-121455000;-119424000;-170973000;-228856000;-168545000;-165720000;-162590000;-157266000;-154889000;-152101000;-350341000;-649534000
Resultado global y otros;-159353000;-132048000;-110855000;-260895000;-371124000;-438717000;-265091000;-341085000;-344392000;-297298000;-346959000;-403522000;-314405000;-316669000;-239468000
Intereses minoritarios;2195000;2587000;2489000;2390000;1821000;;;;;;;;;;
Patrimonio neto;1982783000;1781537000;1916016000;1913699000;2011093000;2137517000;2430531000;2539978000;2979320000;3336457000;3754748000;4021968000;4440988000;4278140000;3124768000
Total pasivos y patrimonio neto;3924103000;3733687000;4209007000;3922787000;3871774000;3891213000;6181492000;6277991000;6309820000;7152559000;6871722000;6928063000;7532546000;7097914000;6947239000
Valor en libros tangible;-337741000;-518294000;-696273000;-628964000;-486555000;-230866000;-2188809000;-2031653000;-1422270000;-1769255000;-1038521000;-820927000;-975027000;-622888000;-704432000
Deuda total;959795000;969980000;1286287000;1068401000;1059200000;1033323000;2249552000;2166618000;2031164000;2621256000;1988265000;1851417000;1977970000;1772383000;2822424000
Deuda neta;375707000;632941000;854303000;765165000;720834000;489534000;1915994000;1794729000;1708506000;2225270000;1521463000;1510880000;1738239000;1466223000;2417600000
Fondo de maniobra;1009249000;797922000;565434000;363139000;339719000;755747000;644931000;653713000;743277000;882398000;748999000;829491000;800661000;821764000;1176312000
Fondo de maniobra neto;430147000;465583000;489737000;428304000;418703000;395029000;397998000;368449000;491468000;609558000;414327000;595911000;667931000;632962000;892114000
