Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;29/05/2011;27/05/2012;26/05/2013;25/05/2014;31/05/2015;29/05/2016;28/05/2017;27/05/2018;26/05/2019;31/05/2020;30/05/2021;29/05/2022;28/05/2023;26/05/2024;25/05/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Pasivos totales;12062300000;13366300000;14562000000;15156200000;15660400000;15559600000;16216200000;23355400000;22191800000;21912600000;21463800000;20302100000;20751700000;21821400000;23859900000
Patrimonio ordinario, Total;6365500000;6421700000;6672200000;6534800000;4996700000;4930200000;4327900000;6141100000;7054500000;8058500000;9470400000;10542400000;10449600000;9396700000;9199200000
Acciones ordinarias;75500000;75500000;75500000;75500000;75500000;75500000;75500000;75500000;75500000;75500000;75500000;75500000;75500000;75500000;75500000
Capital desembolsado adicional;1319800000;1308400000;1166600000;1231800000;1296700000;1177000000;1120900000;1202500000;1386700000;1348600000;1365500000;1182900000;1222400000;1227000000;1218800000
Beneficio no distribuido;9191300000;9958500000;10702600000;11787200000;11990800000;12616500000;13138900000;14459600000;14996700000;15982100000;17069800000;18532600000;19838600000;20971800000;21917800000
Autocartera;-3210300000;-3177000000;-3687200000;-5219400000;-6055600000;-6326600000;-7762900000;-7167500000;-6779000000;-6433300000;-6611200000;-7278100000;-8410000000;-10357900000;-11467900000
Resultado global y otros;-1010800000;-1743700000;-1585300000;-1340300000;-2310700000;-2612200000;-2244500000;-2429000000;-2625400000;-2914400000;-2429200000;-1970500000;-2276900000;-2519700000;-2545000000
Intereses minoritarios;246700000;1308800000;1423800000;1454700000;1174900000;1222500000;1268500000;1127500000;864900000;835600000;907700000;245600000;250400000;251800000;12000000
Patrimonio neto;6612200000;7730500000;8096000000;7989500000;6171600000;6152700000;5596400000;7268600000;7919400000;8894100000;10378100000;10788000000;10700000000;9648500000;9211200000
Total pasivos y patrimonio neto;18674500000;21096800000;22658000000;23145700000;21832000000;21712300000;21812600000;30624000000;30111200000;30806700000;31841900000;31090100000;31451700000;31469900000;33071100000
Valor en libros tangible;-4198600000;-6465700000;-6965100000;-7130000000;-8555200000;-8349600000;-8949700000;-15369000000;-14108100000;-12960500000;-11742600000;-10836000000;-11029200000;-12333900000;-13504600000
Deuda total;6907300000;7429600000;7969100000;8785800000;9191500000;8430900000;9481700000;15818600000;14490000000;13918500000;13006400000;11975400000;12064800000;13315100000;15296700000
Deuda neta;6287700000;6958400000;7227700000;7918500000;8857300000;7667200000;8715600000;15419600000;14040000000;12240700000;11141200000;11156200000;11362100000;12897100000;14932800000
