Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD;USD
Deuda neta;-902300000;-974400000;-1419000000;-1586000000;-1198100000;-1280300000;-1902700000;-1425200000;-1635500000;-1997600000;-1160400000;-1323000000;-1668700000;-2312000000;-2909200000
Fondo de maniobra;1050800000;1171300000;1604000000;1841300000;1301600000;1279900000;1848900000;1210700000;1538400000;1861300000;982600000;1165300000;1303600000;2887300000;3660300000
Fondo de maniobra neto;148500000;196900000;185000000;255300000;103500000;-400000;-53800000;-214500000;-243400000;-290400000;-464600000;-519000000;-633200000;328500000;359900000
Capital total;3420700000;3846100000;4818100000;5395200000;4762000000;5695800000;6817200000;6864600000;8369400000;9422800000;10616400000;10119500000;10689100000;11787900000;12522200000
Capital invertido;2518400000;2871700000;3399100000;3809200000;3563900000;4415500000;4914500000;5439400000;6587600000;7271100000;9093300000;8363900000;8622500000;9138100000;9144000000
Capital empleado;3594200000;4000800000;4818100000;5395200000;4762000000;5761400000;6873100000;6903300000;8408600000;9480500000;10898300000;10233100000;10626900000;12779700000;13642500000
Ventas;2744800000;3020700000;3483500000;3982100000;4200600000;4284800000;4854900000;5372600000;5617900000;6206700000;7671900000;6488400000;6460500000;7093600000;7314800000
Ingresos por int. e inversiones;5400000;1800000;700000;;;;;;;;;;;;
Ventas totales;2750200000;3022500000;3484200000;3982100000;4200600000;4284800000;4854900000;5372600000;5617900000;6206700000;7671900000;6488400000;6460500000;7093600000;7314800000
Coste de ventas;-1044400000;-1143700000;-1274100000;-1473200000;-1595100000;-1867100000;-2073500000;-2246900000;-2384900000;-2616400000;-2993200000;-2922400000;-3254400000;-3409500000;-3564500000
Coste de los bienes vendidos;-1044400000;-1143700000;-1274100000;-1473200000;-1595100000;-1867100000;-2073500000;-2246900000;-2384900000;-2616400000;-2993200000;-2922400000;-3254400000;-3409500000;-3564500000
Beneficio bruto;1705800000;1878800000;2210100000;2508900000;2605500000;2417700000;2781400000;3125700000;3233000000;3590300000;4678700000;3566000000;3206100000;3684100000;3750300000
Gastos operativos totales;-475800000;-514500000;-572700000;-618000000;-706600000;-618100000;-722600000;-779500000;-846000000;-844600000;-936800000;-1352600000;-1302300000;-1364200000;-1380900000
Gastos en VG&A;-205800000;-213200000;-222800000;-219900000;-238900000;-618100000;-722600000;-779500000;-846000000;-844600000;-936800000;-1069100000;-1168100000;-1207500000;-1272900000
Gastos en D&A;-72000000;-80900000;-90600000;-111700000;-126300000;;;;;;;;;;
Amortización de intangibles;;;;;;;;;;;;-283500000;-134200000;-156700000;-108000000
Otros gastos operativos;-198000000;-220400000;-259300000;-286400000;-341400000;;;;;;;;;;
Beneficio operativo;1230000000;1364300000;1637400000;1890900000;1898900000;1799600000;2058800000;2346200000;2387000000;2745700000;3741900000;2213400000;1903800000;2319900000;2369400000
Gastos no operativos totales;20600000;70800000;63000000;112200000;103500000;227100000;396300000;116100000;540300000;496500000;284600000;-17300000;504100000;486300000;686700000
Gastos por intereses;-3100000;;;;;;;;;;;;;;
Ingresos por int. e inversiones;23700000;70800000;63000000;114700000;106800000;229100000;392200000;119200000;533300000;498500000;290500000;;519800000;493500000;684800000
Otros ingresos y gastos no operativos;;;;-2500000;-3300000;-2000000;4100000;-3100000;7000000;-2000000;-5900000;-17300000;-15700000;-7200000;1900000
EBT excluyendo ítems inusuales;1250600000;1435100000;1700400000;2003100000;2002400000;2026700000;2455100000;2462300000;2927300000;3242200000;4026500000;2196100000;2407900000;2806200000;3056100000
Ítems inusuales totales;0;0;0;0;0;-66200000;50000000;-77700000;0;0;-31900000;-247900000;82400000;13400000;-180600000
Cargos de fusión y reestructuración;;;;;;;;;;;-31900000;-900000;;;-177300000
Beneficios o pérdidas por venta de inversiones;;;;;;;;-92900000;;;;-408200000;;;
Reducción de valor de activos;;;;;;;;;;;;;;;-3300000
Acuerdos de seguros;;;;;;100000000;50000000;15200000;;;;;;;
Otros ítems inusuales;;;;;;-166200000;;;;;;161200000;82400000;13400000;
EBT incluyendo ítems inusuales;1250600000;1435100000;1700400000;2003100000;2002400000;1960500000;2505100000;2384600000;2927300000;3242200000;3994600000;1948200000;2490300000;2819600000;2875500000
Gastos por impuestos;-477400000;-551500000;-652700000;-773500000;-779400000;-706500000;-923900000;-615900000;-678400000;-718900000;-896100000;-498600000;-654600000;-683800000;-667200000
Beneficios de operaciones continuas;773200000;883600000;1047700000;1229600000;1223000000;1254000000;1581200000;1768700000;2248900000;2523300000;3098500000;1449600000;1835700000;2135800000;2208300000
Beneficio neto total;773200000;883600000;1047700000;1229600000;1223000000;1254000000;1581200000;1768700000;2248900000;2523300000;3098500000;1449600000;1835700000;2135800000;2208300000
Beneficio intereses minoritarios;;;;;;-39000000;-83400000;68800000;-117600000;-150600000;-15600000;108300000;-47000000;-35700000;-121200000
Beneficio neto;773200000;883600000;1047700000;1229600000;1223000000;1215000000;1497800000;1837500000;2131300000;2372700000;3082900000;1557900000;1788700000;2100100000;2087100000
Dividendos preferentes y ajustes;3500000;5500000;9300000;14200000;16100000;25500000;33900000;43600000;55300000;65300000;80500000;36100000;44400000;55800000;50600000
Beneficio neto comunes incl. ítems extra;769700000;878100000;1038400000;1215400000;1206900000;1189500000;1463900000;1793900000;2076000000;2307400000;3002400000;1521800000;1744300000;2044300000;2036500000
Beneficio neto comunes excl. ítems extra;769700000;878100000;1038400000;1215400000;1206900000;1189500000;1463900000;1793900000;2076000000;2307400000;3002400000;1521800000;1744300000;2044300000;2036500000
EBITDAR;1417400000;1569900000;1863800000;2146500000;2184400000;1965800000;2238400000;2545800000;2606800000;2967400000;3979200000;2734100000;2437800000;2835200000;3027600000
EBITDA;1302400000;1445200000;1728000000;2002600000;2025200000;1933000000;2202400000;2505700000;2577800000;2935300000;3946700000;2684100000;2385400000;2793000000;2971600000
EBITA;1230400000;1364300000;1637400000;1890900000;1898900000;1799600000;2058800000;2346200000;2387000000;2745700000;3741900000;2458400000;2130600000;2538900000;2565800000
EBIT;1230000000;1364300000;1637400000;1890900000;1898900000;1799600000;2058800000;2346200000;2387000000;2745700000;3741900000;2213400000;1903800000;2319900000;2369400000
Beneficio neto;773200000;883600000;1047700000;1229600000;1223000000;1215000000;1497800000;1837500000;2131300000;2372700000;3082900000;1557900000;1788700000;2100100000;2087100000
D&A total;72400000;80900000;90600000;111700000;126300000;133400000;143600000;159500000;190800000;189600000;204800000;470700000;481600000;473100000;602200000
Amortización de intangibles;400000;;;;;;;;;;;245000000;226800000;219000000;196400000
Depreciación y amortización;72000000;80900000;90600000;111700000;126300000;133400000;143600000;159500000;190800000;189600000;204800000;225700000;254800000;254100000;405800000
Otros elementos no monetarios;94700000;57600000;88100000;73000000;86600000;116600000;-139600000;-51700000;21900000;64300000;82000000;382800000;-174500000;-132700000;-103000000
Beneficios o pérdidas por venta de inversiones;-4000000;-46500000;-26500000;-60400000;-62400000;-84000000;-156400000;-50500000;-176300000;-189600000;-122500000;210600000;-460800000;-340200000;-452400000
Costes de reestructuración;;;;;;;;;;;;175100000;;31100000;3300000
Retribución en acciones;98700000;104100000;114600000;133400000;149000000;161600000;152000000;197100000;206600000;246200000;274600000;285400000;265600000;247300000;216900000
Otras actividades operativas;;;;;;39000000;-135200000;-198300000;-8400000;7700000;-70100000;-288300000;20700000;-70900000;129200000
Variación activos operativos;8100000;-119300000;6800000;-70400000;94600000;-1294500000;-1272300000;-325400000;-821300000;-707700000;82300000;-52000000;-876700000;-754900000;-832900000
Var. en valores negociables;;-89300000;-25600000;-86200000;-7500000;-1297900000;-1492900000;-437000000;-930900000;-798800000;14900000;87900000;-1070300000;-760400000;-1002700000
Var. cuentas por cobrar;2800000;-49700000;-44700000;-31500000;-3200000;-10500000;;;;;;;;;
Var. cuentas por pagar;-4900000;35300000;-5100000;36500000;98200000;139200000;;;;;;;;;
Var. otros activos;10200000;-15600000;82200000;10800000;7100000;-125300000;220600000;111600000;109600000;91100000;67400000;-139900000;193600000;5500000;169800000
Flujo operativo;948400000;902800000;1233200000;1343900000;1530500000;170500000;229500000;1619900000;1522700000;1918900000;3452000000;2359400000;1219100000;1685600000;1753400000
Gastos de capital (Capex);-82300000;-76900000;-105800000;-126200000;-151300000;-148300000;-186100000;-168500000;-204600000;-214600000;-239100000;-237600000;-307900000;-423400000;-274200000
Adquisiciones;;;;;;41400000;-64200000;-23800000;-18400000;-53900000;-2467700000;-8700000;-56800000;-15800000;-63100000
Otras actividades de inversión;-82700000;-233200000;-331700000;-317200000;260300000;213100000;289300000;-683200000;-101500000;232200000;1608700000;204800000;492900000;261700000;567600000
Inv. en valores negociables;-75100000;-220000000;-320200000;-305300000;269700000;218800000;296700000;-771600000;-108300000;181700000;1577800000;208500000;531300000;433300000;656200000
Otras act. de inversión;-7600000;-13200000;-11500000;-11900000;-9400000;-5700000;-7400000;88400000;6800000;50500000;30900000;-3700000;-38400000;-171600000;-88600000
