Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/03/2011;31/03/2012;31/03/2013;31/03/2014;31/03/2015;31/03/2016;31/03/2017;31/03/2018;31/03/2019;31/03/2020;31/03/2021;31/03/2022;31/03/2023;31/03/2024;31/03/2025
Divisa;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP;GBP
Capital invertido;5370000;4044000;3220000;5725000;5083000;2862000;-426000;3788000;3642000;6875000;7398000;9998000;14719000;11591000;22792000
Capital empleado;30098000;28631000;32288000;32907000;35804000;37708000;36831000;26551000;27430000;29062000;27098000;27015000;29107000;29033000;36161000
Ventas;28196000;20535000;18552000;19922000;21057000;21134000;22952000;23834000;24973000;25563000;25412000;35152000;44689000;45378000;41615000
Ventas totales;28196000;20535000;18552000;19922000;21057000;21134000;22952000;23834000;24973000;25563000;25412000;35152000;44689000;45378000;41615000
Coste de ventas;-102000;-252000;-221000;-86000;-148000;-221000;-298000;-311000;-385000;-255000;-399000;-219000;-37000;-82000;-472000
Coste de los bienes vendidos;-102000;-252000;-221000;-86000;-148000;-221000;-298000;-311000;-385000;-255000;-399000;-219000;-37000;-82000;-472000
Beneficio bruto;28094000;20283000;18331000;19836000;20909000;20913000;22654000;23523000;24588000;25308000;25013000;34933000;44652000;45296000;41143000
Gastos operativos totales;-15740000;-13430000;-12343000;-13412000;-13373000;-14123000;-14910000;-16004000;-16715000;-17457000;-18764000;-23730000;-29670000;-30653000;-30540000
Gastos en VG&A;-15740000;-13420000;-12166000;-13183000;-13143000;-13879000;-14824000;-16325000;-16630000;-17612000;-18934000;-23726000;-29888000;-30746000;-30845000
Amortización de intangibles;;-10000;-177000;-229000;-230000;-244000;-243000;-99000;-74000;-129000;;;;;
Otros gastos operativos;;;;;;;157000;420000;-11000;284000;170000;-4000;218000;93000;305000
Beneficio operativo;12354000;6853000;5988000;6424000;7536000;6790000;7744000;7519000;7873000;7851000;6249000;11203000;14982000;14643000;10603000
Gastos no operativos totales;184000;155000;158000;113000;146000;143000;112000;-191000;116000;-114000;-96000;-347000;-384000;218000;394000
Gastos por intereses;;;;;;;;-10000;-22000;-58000;-38000;-23000;-55000;-81000;-162000
Ingresos por int. e inversiones;184000;155000;158000;113000;146000;143000;112000;66000;135000;146000;71000;44000;182000;394000;446000
Otros ingresos y gastos no operativos;;;;;;;;-247000;3000;-202000;-129000;-368000;-511000;-95000;110000
EBT excluyendo ítems inusuales;12538000;7008000;6146000;6537000;7682000;6933000;7856000;7328000;7989000;7737000;6153000;10856000;14598000;14861000;10997000
Ítems inusuales totales;-1000;-299000;-68000;0;0;0;0;0;0;0;0;0;0;-1937000;0
Beneficios o pérdidas por venta de inversiones;-1000;-299000;-68000;;;;;;;;;;;;
Reducción de valor de activos;;;;;;;;;;;;;;-1937000;
EBT incluyendo ítems inusuales;12537000;6709000;6078000;6537000;7682000;6933000;7856000;7328000;7989000;7737000;6153000;10856000;14598000;12924000;10997000
Gastos por impuestos;-3603000;-1803000;-1450000;-1494000;-1708000;-1523000;-1540000;-1182000;-1559000;-1365000;-802000;-2225000;-3259000;-3658000;-1837000
Beneficios de operaciones continuas;8934000;4906000;4628000;5043000;5974000;5410000;6316000;6146000;6430000;6372000;5351000;8631000;11339000;9266000;9160000
Beneficio neto total;8934000;4906000;4628000;5043000;5974000;5410000;6316000;6146000;6430000;6372000;5351000;8631000;11339000;9266000;9160000
Beneficio intereses minoritarios;-27000;7000;-294000;364000;-192000;131000;;;;48000;;;;5000;590000
Beneficio neto;8907000;4913000;4334000;5407000;5782000;5541000;6316000;6146000;6430000;6420000;5351000;8631000;11339000;9271000;9750000
Beneficio neto comunes incl. ítems extra;8907000;4913000;4334000;5407000;5782000;5541000;6316000;6146000;6430000;6420000;5351000;8631000;11339000;9271000;9750000
Beneficio neto comunes excl. ítems extra;8907000;4913000;4334000;5407000;5782000;5541000;6316000;6146000;6430000;6420000;5351000;8631000;11339000;9271000;9750000
EBITDAR;12747000;7163000;6321000;6734000;7845000;7091000;8345000;8321000;8698000;;7087000;12228000;16378000;15845000;12156000
EBITDA;12545000;6949000;6094000;6503000;7621000;6867000;7843000;7725000;8094000;8104000;6547000;11560000;15267000;14856000;10813000
EBITA;12354000;6853000;5988000;6424000;7536000;6790000;7744000;7519000;7873000;7851000;6249000;11203000;14982000;14643000;10603000
EBIT;12354000;6853000;5988000;6424000;7536000;6790000;7744000;7519000;7873000;7851000;6249000;11203000;14982000;14643000;10603000
Beneficio neto;8907000;4913000;4334000;5407000;5782000;5541000;6316000;6146000;6430000;6420000;5351000;8631000;11339000;9271000;9750000
D&A total;191000;96000;106000;79000;85000;77000;99000;206000;221000;757000;788000;846000;660000;491000;741000
Depreciación y amortización;191000;96000;106000;79000;85000;77000;99000;206000;221000;757000;788000;846000;660000;491000;741000
Amortización de cargos diferidos;;10000;177000;229000;230000;244000;243000;99000;74000;129000;168000;192000;135000;232000;18000
Otros elementos no monetarios;-368000;-816000;262000;-399000;530000;119000;323000;-4036000;631000;-218000;-622000;2267000;3407000;2826000;-3317000
Venta de activos;;;;-1000;;;;1000;;;;;11000;;
Costes de reestructuración;;;;;;;;;;;;;;1937000;
Provisión para pérdidas crediticias;;;;;;;;;;;;;;188000;
Inversiones en acciones;;;;;;;;;;;;;;;4000
Retribución en acciones;262000;199000;60000;156000;167000;388000;24000;-93000;87000;738000;486000;559000;916000;1448000;1952000
Otras actividades operativas;-630000;-1015000;202000;-554000;363000;-269000;299000;-3944000;544000;-956000;-1108000;1708000;2480000;-747000;-5273000
Variación activos operativos;-489000;-1810000;730000;-149000;-292000;-472000;126000;331000;-330000;-663000;1113000;-581000;-3278000;235000;154000
Var. cuentas por cobrar;1418000;1831000;-485000;-68000;-672000;610000;-1268000;172000;-772000;-1281000;696000;-1877000;-4490000;1316000;-910000
Var. cuentas por pagar;214000;-1594000;173000;29000;243000;-600000;641000;-371000;106000;618000;417000;1296000;1290000;-1081000;750000
Var. otros activos;-2121000;-2047000;1042000;-110000;137000;-482000;753000;530000;336000;;;;-78000;;314000
Flujo operativo;8241000;2393000;5609000;5167000;6335000;5509000;7107000;2746000;7026000;6425000;6798000;11355000;12263000;13055000;7346000
Gastos de capital (Capex);-85000;-52000;-63000;-25000;-128000;-29000;-899000;-236000;-72000;-243000;-230000;-75000;-272000;-29000;-2118000
Venta de activos tangibles;;;;1000;;;;;;;;;;;
Adquisiciones;;;;;;1968000;;;;;-23000;;;;
Otras actividades de inversión;-491000;93000;149000;-18377000;-2285000;6667000;-5159000;7899000;-561000;1631000;-6187000;-3392000;7498000;-3327000;9208000
Activos intangibles;-679000;-65000;;;;-39000;-189000;-82000;-134000;-311000;-189000;-334000;-964000;-789000;-365000
Inv. en valores negociables;;;;-18479000;-2426000;6541000;-5082000;7904000;-537000;1782000;-5854000;-1294000;8281000;-2898000;9094000
Otras act. de inversión;188000;158000;149000;102000;141000;165000;112000;77000;110000;160000;-144000;-1764000;181000;360000;479000
Flujo de inversión;-576000;41000;86000;-18401000;-2413000;8606000;-6058000;7663000;-633000;1388000;-6440000;-3467000;7226000;-3356000;7090000
Flujo neto de deuda;0;0;0;0;0;0;0;0;0;-576000;-560000;-540000;-315000;-288000;-217000
Deuda total pagada;;;;;;;;;;-576000;-560000;-540000;-315000;-288000;-217000
Flujo neto de acciones;0;-534000;-686000;-67000;-303000;-794000;-193000;-10367000;-653000;-487000;-1808000;-4462000;-3572000;0;-301000
Emisión de acciones comunes;;;;104000;15000;;28000;;;;;;;;24000
Recompra de acciones comunes;;-534000;-686000;-171000;-318000;-794000;-221000;-10367000;-653000;-487000;-1808000;-4462000;-3572000;;-325000
