Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;30/06/2011;30/06/2012;30/06/2013;30/06/2014;30/06/2015;30/06/2016;30/06/2017;30/06/2018;30/06/2019;30/06/2020;30/06/2021;30/06/2022;30/06/2023;30/06/2024;30/06/2025
Divisa;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD;AUD
Patrimonio ordinario, Total;7026400000;7294200000;6495600000;6373000000;6506000000;5713600000;5022100000;4730100000;4677400000;4357700000;4274600000;4412000000;4353000000;4438000000;4086000000
Acciones ordinarias;1711700000;1711700000;1508300000;1508000000;1508000000;1206600000;1206600000;906600000;906600000;506600000;3673700000;3674000000;3674000000;3674000000;3374000000
Capital desembolsado adicional;4400200000;4397300000;4388300000;3538000000;3469000000;3467800000;3467800000;3467500000;3467500000;3467100000;;;;;
Beneficio no distribuido;916800000;1177100000;1424100000;1331000000;1539000000;1082300000;342500000;363400000;352300000;456000000;657500000;712000000;659000000;739000000;745000000
Autocartera;;;-850700000;;;;;;;;;;;;
Resultado global y otros;-2300000;8100000;25600000;-4000000;-10000000;-43100000;5200000;-7400000;-49000000;-72000000;-56600000;26000000;20000000;25000000;-33000000
Patrimonio neto;7026400000;7294200000;6495600000;6373000000;6506000000;5713600000;5022100000;4730100000;4677400000;4357700000;4274600000;4412000000;4353000000;4438000000;4086000000
Total pasivos y patrimonio neto;9211200000;10020500000;10519100000;10948000000;11336000000;10869000000;9845900000;9781800000;9701100000;9772000000;9764600000;9676000000;11679000000;11596000000;11642000000
Valor en libros tangible;7001500000;7277600000;6470300000;6309000000;6379000000;5523400000;4852100000;4557500000;4500500000;4170200000;4042800000;4203000000;4133000000;4229000000;3946000000
Deuda total;803200000;1221100000;2479300000;2868000000;3026000000;3540300000;3446900000;3523200000;3418900000;3829100000;3942400000;3610000000;5528000000;5319000000;5677000000
Deuda neta;671000000;1122300000;2371700000;2550000000;2855000000;3471100000;3358200000;3488400000;3393700000;3799800000;3793600000;3396000000;5436000000;5183000000;5509000000
Fondo de maniobra;106200000;111800000;151200000;420000000;30000000;104600000;-14800000;-42100000;-208900000;-757100000;94700000;-108000000;-117000000;-735000000;-701000000
Fondo de maniobra neto;-26000000;13600000;44300000;144000000;-82000000;68600000;-24500000;23100000;-85100000;-77800000;22000000;-51000000;377000000;108000000;128000000
Capital total;7829600000;8515300000;8974900000;9241000000;9532000000;9253900000;8469000000;8253300000;8096300000;8186800000;8217000000;8022000000;9881000000;9757000000;9763000000
